region,84.004,84.010,84.011,84.013,84.041,84.060,84.141,84.144,84.149,84.184,84.186,84.196,84.206,84.215,84.256,84.282,84.287,84.299,84.304,84.318,84.330,84.336,84.350,84.351,84.354,84.356,84.358,84.362,84.363,84.365,84.366,84.367,84.368,84.369,84.370,84.374,84.377
alabama,0,215107183,2113620,730247,3343119,1786111,0,33381,0,191867,4330635,999059,0,4479268,0,0,15762412,0,0,4006389,2284665,1487065,0,0,0,0,5132465,0,0,3679924,3149164,47018199,0,6627911,0,0,9482353
alaska,0,38846309,6978073,268748,119250132,9858971,0,41036,0,0,1423348,177205,0,7965665,0,0,5313082,392557,0,1294335,11648,5542645,0,0,0,45721111,140053,0,0,1274049,890414,13929337,0,3582506,0,1204256,1965982
american samoa,0,0,0,0,0,0,0,0,0,0,900459,0,0,0,3339011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arizona,756000,274776685,6577783,1465223,162098595,9224883,0,40474,0,905647,4707343,1193796,0,7877036,0,4088406,21337285,4314535,0,4787318,1969002,5447764,0,661614,0,0,2461413,0,0,22121448,3752270,48635038,0,8207500,0,7695147,11821205
arkansas,0,144267804,5276291,489167,940546,305980,0,111970,643140,218965,2706941,654135,399554,490583,0,5022574,9795020,0,0,2712476,0,0,0,0,0,0,4894625,0,0,2984539,1980113,28688758,0,5231827,0,0,6473535
california,0,1698808133,129842389,2561084,74024043,5656741,1868112,4823,3371384,26069783,35161795,7619180,791896,69336093,0,23463723,133774418,0,24048969,30541869,11877831,12649422,3424107,502771,0,0,7349135,0,0,165332467,21906182,332854904,0,32918202,0,6188152,75553383
colorado,670854,135391517,7350234,486418,17587841,721737,915965,112508,0,361326,3210467,627899,0,2921297,0,23866845,9956707,689863,0,2517979,1089708,8382402,0,0,0,0,2367141,0,0,10401261,1861934,32975388,0,6750164,0,6031910,6227734
connecticut,0,115497820,0,1198815,5694003,0,0,0,0,753118,2902721,494467,1609019,6363343,0,1737998,9041360,0,0,1973247,990039,0,0,0,0,0,1173363,0,0,5599316,1122918,26442893,0,5710938,0,0,4840229
delaware,0,38146831,303693,516860,73520,0,0,31677,0,0,1423348,161625,0,1973829,0,0,5313082,0,0,1203238,2526594,530209,0,0,0,0,142902,0,0,1209712,846693,13259836,0,3641780,0,0,635771
district of columbia,637721,46138924,0,233939,1433492,0,0,0,0,2774075,1423348,181632,0,1123762,0,4842111,6021066,0,0,1294335,764233,7786331,1122110,27754220,0,0,0,0,0,879598,505526,13296988,1220427,3344879,25048400,0,2048477
florida,757353,656255294,23313089,1529098,10335153,54145,696321,127287,0,3592279,13949486,3091662,0,27882508,0,33694684,48630870,0,0,12398071,3987391,0,1558346,699997,0,0,3547753,0,0,42604719,8676445,133957142,0,15883630,0,13262514,29837979
