region,84.004,84.010,84.011,84.013,84.041,84.060,84.141,84.144,84.149,84.165,84.184,84.186,84.196,84.206,84.215,84.256,84.282,84.283,84.287,84.295,84.299,84.304,84.318,84.330,84.336,84.350,84.351,84.354,84.356,84.358,84.362,84.363,84.365,84.366,84.367,84.368,84.369,84.370,84.371,84.374,84.377
alabama,0,238215761,2103552,745397,7595713,1776967,0,0,0,0,10148379,4228851,993986,0,5550322,0,0,0,17202272,0,0,0,4250884,52325,0,1632599,0,0,0,5625258,0,0,4349324,3293677,47443552,0,6627669,0,0,0,0
alaska,0,38214787,7307078,242458,120462649,9956529,0,0,0,0,4558327,1412325,207835,0,9248549,0,0,2642268,5561458,0,3952219,0,1306243,10211,0,1638775,0,0,39867528,200997,0,1384239,1936291,890416,13986101,0,3571366,0,0,256630,0
american samoa,0,0,0,0,0,0,0,0,0,0,0,754674,0,0,571499,1080000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arizona,762772,290541120,7064549,1376531,165925749,9428063,1395719,0,0,0,11040280,4536258,1494986,0,10528482,0,18090879,0,20555340,0,5381077,0,5065634,1233820,6724700,3696060,1386096,0,0,2762786,0,922687,24900489,3954015,49362459,0,8326381,0,0,7262777,0
arkansas,0,163673825,5664700,405016,676409,308437,0,76923,0,15724393,3085564,2693875,592534,436239,3146642,0,0,0,11659224,0,0,0,2901268,0,0,0,0,0,0,5174284,0,0,3331698,2137830,29132110,0,5237350,0,0,0,0
california,372573,1651553208,140236473,2376154,64173821,6014318,4396401,0,5795548,47314220,93713775,29630226,12849898,763518,98091731,0,81709227,31672355,131332153,0,1611169,25056589,29144238,7464345,5491539,8421800,9346234,0,0,7863633,0,3032886,168456300,20037656,327106669,0,32776448,0,0,7837093,0
colorado,676870,159990020,5778024,551092,17021507,701302,474324,76923,1322782,12823925,11966873,3210467,853617,0,6495781,0,0,4167477,10823166,0,260438,0,2863275,1327094,0,2608410,745703,0,0,2384236,0,2857560,11214892,2164079,33920901,0,6795252,0,0,6213909,0
connecticut,0,112784235,0,1284525,6171799,0,0,0,0,10633463,340569,2861699,307344,450001,16389924,0,0,0,8466957,0,0,0,1876735,940495,0,0,0,0,0,1231473,0,0,5737252,1103241,26408237,0,5685190,0,0,0,0
delaware,0,41031302,283545,693628,70559,0,0,0,0,0,998824,1423348,174549,0,980689,0,0,0,5561458,0,0,0,1306243,38648,0,0,0,0,0,94863,0,0,1168946,795748,13921497,0,3656838,0,0,0,0
district of columbia,643442,48888781,0,340119,1449213,0,0,0,0,0,7632113,1287805,162469,0,2301028,0,3992539,18471615,5561458,43344675,0,1336266,1306243,32164,0,7124452,16708968,0,0,0,0,1321080,806780,819594,13960564,0,3338296,4171236,0,0,0
florida,1166629,674793892,23131550,1949794,8524174,56132,1637817,76923,402371,43851124,27387888,13869069,2886780,440059,37444866,0,0,0,53279582,0,0,0,12291871,3249961,0,13108538,2421056,0,0,2267211,0,739474,43560011,8241593,132561148,0,15803919,0,0,13411455,0
georgia,0,496479035,7073422,1237291,21478686,0,0,0,411354,0,19914239,7956698,1729277,0,5592013,0,17010000,0,35462675,0,0,0,8976032,1847924,3251765,5843111,1810591,0,0,7124681,0,1438805,16478879,6001369,80700444,0,11085043,0,0,0,0
guam,0,0,0,0,0,0,0,0,0,0,0,375357,0,0,1456798,303467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hawaii,0,43230443,960551,289304,41073630,0,0,153846,0,0,483500,1935332,162667,0,4851588,233716,151700,2642268,5561458,0,0,0,1306243,41698,3295298,0,825000,0,0,0,53241176,0,2666218,890416,13937849,0,3885424,0,0,0,0
idaho,0,50102245,2576472,437539,6778313,426151,475000,0,425000,0,416558,1423348,195417,0,2646080,0,5013598,0,5487322,0,1228054,0,1306243,32176,0,0,0,0,0,1275091,0,0,1998276,890416,13984877,1351189,4300594,0,0,0,0
illinois,464872,635103455,1935508,1002728,20123135,129843,0,76923,0,10288693,14818550,11684770,2384225,0,22523614,0,10812281,31623657,43719922,29983912,0,2991426,10789120,2166581,8441458,2045314,2280732,0,0,6936373,0,2695826,30906506,6574304,118322149,0,13215809,0,727359,4891068,0
indiana,0,261305692,6447844,887197,478050,0,0,0,0,8538361,12229785,4021038,885989,877252,18202077,0,5e+06,0,19261871,0,0,0,4446830,163529,1041342,0,0,0,0,906169,0,0,6660567,3137163,50436788,0,8104086,0,0,0,0
iowa,0,78077309,1336285,435060,649212,176809,0,0,0,0,9281758,2267920,408045,0,15887756,0,0,0,5704636,0,0,0,1362011,23625,0,0,581099,0,0,4690310,0,0,2769974,992250,22264776,0,5285999,0,0,0,0
kansas,704151,103934603,11704968,387784,24520126,1166768,0,76923,369495,0,2703875,2351305,422750,0,5218576,0,0,0,7638518,0,0,0,1841081,689785,2918650,1108233,233565,0,0,3974591,0,592501,3684318,1153093,22858036,0,5226374,0,0,0,0
kentucky,249997,226000207,8031873,974521,1599607,0,0,0,0,0,17611919,4107674,1219646,429109,15584381,0,0,0,16707248,0,0,0,4030803,952194,821644,2225055,0,0,0,5785833,0,0,3765040,2811500,45509126,0,6234621,0,645359,0,0
