region,84.004,84.010,84.011,84.013,84.041,84.060,84.141,84.144,84.149,84.165,84.184,84.186,84.196,84.206,84.215,84.256,84.282,84.283,84.287,84.295,84.299,84.304,84.318,84.330,84.336,84.350,84.351,84.354,84.356,84.358,84.360,84.362,84.363,84.365,84.366,84.367,84.368,84.369,84.370,84.371,84.374,84.377
alabama,0,55368548,2143680,808777,2753229,1680372,0,0,0,0,4140267,0,973459,0,4926186,0,0,0,18672524,0,0,0,1419993,169850,0,408209,3e+05,0,0,4454302,1651537,0,0,3775906,2970619,19534451,0,6620965,0,0,9838321,8926656
alaska,0,9214605,7250605,256257,121983630,11277068,0,32190,0,0,916709,0,167945,0,6174793,0,0,909357,5733988,0,1900621,0,483875,18336,0,648056,0,0,33079097,296895,0,0,754249,1832893,897878,5888914,0,3574452,0,0,616320,1655369
american samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029534,1080000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arizona,762771,76803820,6841639,1491022,176431353,9890956,475000,27498,417193,2376751,11355588,0,1364296,0,6047133,0,1277078,0,22251467,0,2179532,0,1984342,1317035,5032511,669222,312943,0,0,2974749,0,0,1153184,24019108,4208375,21108054,2486738,8400772,0,0,50803868,10754978
arkansas,0,39619800,5487380,336446,378465,306907,0,97231,0,0,749998,0,694429,444726,1758909,0,3434163,0,12731189,0,0,0,1016993,0,0,0,0,0,0,4859108,0,0,0,3301528,2067263,12175964,0,5248191,0,0,3321143,6188796
california,0,432621862,135300252,1785574,82838244,6348701,3591199,150118,3819332,16493990,43430943,0,7965987,782886,61915058,0,83455776,10682895,127884670,0,377461,26635625,11478598,7308184,9361634,3286870,4722001,8300000,0,8533583,4465641,0,4868467,173295391,21268018,139022859,0,32736050,0,13881637,51261340,64081739
colorado,654567,40459250,7324574,638348,17432138,731710,469275,98923,809273,2334368,6155098,0,695305,0,5500373,0,15249174,1389520,12564764,0,1,0,1010597,1298624,0,963677,0,0,0,2230116,3e+06,0,1450481,11172245,2017019,14099826,0,6841822,0,0,14972695,6119330
connecticut,0,31755649,0,1336723,4682064,0,0,0,0,7220947,375000,0,505558,450001,6526505,0,1675403,0,8243660,0,0,0,742420,941787,0,0,0,0,0,1141569,2732987,0,0,5680977,1157780,11217481,0,5659092,0,0,4489748,3929761
delaware,0,10095517,303849,530710,51912,0,0,25788,0,0,328177,0,185558,0,2897266,0,0,0,5733988,0,0,0,483875,43400,0,0,0,0,0,140218,0,0,0,1170713,897878,5888913,0,3655375,0,0,0,1626978
district of columbia,641381,10963521,0,360718,908112,0,0,0,0,0,745558,0,216333,0,3032107,0,9287150,6265017,5733988,14627354,0,652963,483875,32164,0,1659806,16066062,0,0,0,0,0,751735,740158,809557,5888913,0,3342189,21568215,0,0,1921930
florida,764137,172145327,23655883,2146780,8163445,67249,1130299,113023,405086,15006389,11834821,0,3283463,440798,24456259,0,12529382,0,53949204,0,0,0,4800373,3150460,0,3102884,1564075,0,0,2962430,2370617,0,1457583,44368036,8849866,56518105,0,15869095,0,0,59902947,26206426
georgia,0,126483130,8211853,1209576,22318811,0,454178,33075,416805,0,8546923,0,2319108,0,12766761,0,13166249,0,39385349,0,0,0,3401363,1526063,3452608,2622078,508995,0,0,6642300,1446950,0,740339,16360443,6126433,34163036,0,11155428,0,0,0,18904099
guam,0,0,0,0,18584,0,0,0,0,0,0,0,0,0,0,347631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hawaii,0,10095160,835446,329733,38057476,0,0,159611,0,0,0,589518,187868,0,8197903,250000,152600,909357,5733988,0,0,0,483875,66159,0,0,0,0,0,0,0,33788457,0,2934485,897878,5888914,0,3896165,0,0,0,1694018
idaho,0,12737998,3714074,525383,6245556,419304,475000,95597,849271,0,119922,0,221224,0,2693232,0,1744101,0,5733988,0,241956,0,483875,61056,0,0,0,0,0,1162658,0,0,0,2236967,897878,5888914,0,4309504,0,0,0,1939057
illinois,0,159025904,1984328,1193188,21899630,138524,0,66666,0,0,7829368,0,2696886,0,14861483,0,6011477,10680834,47342120,6623475,0,2682787,3945919,2403077,6505726,1159154,1645753,0,0,7218577,6426042,0,1827111,30536177,6513736,49739336,1918845,13161815,0,19312661,8243732,22555328
indiana,0,66206287,5717604,618317,432745,0,0,30777,0,3990901,7886435,0,1101072,865045,8281410,0,14852838,0,19512797,0,0,0,1613635,275830,732452,0,0,0,0,1438202,0,0,0,7108071,3325664,21519499,0,8090024,0,0,25673407,9437827
iowa,0,21238737,1672770,392625,420030,216826,0,0,0,0,7486791,0,352694,0,18592353,0,0,0,5976008,0,0,0,513073,50174,0,0,303204,0,0,4805988,1417614,0,0,3159457,1127860,22198602,0,5265881,0,0,0,2880380
kansas,704072,26755833,12001767,312205,25478969,1223955,883348,103234,368374,1007711,3952100,0,461590,0,5907885,0,0,0,8090773,0,0,0,674163,651577,1804042,208908,131191,0,0,3777413,0,0,617922,3791209,1128219,9577185,1126307,5223194,0,0,0,4123587
kentucky,0,56241323,7687443,978001,917408,0,932880,32592,0,0,6324157,0,1027704,417364,19170003,0,0,0,17687571,0,0,0,1494296,1115410,1081457,455409,0,0,0,6088209,0,0,0,3594304,2786422,19094604,0,6232222,0,15833252,0,8610752
louisiana,0,78285309,2569054,1665315,7431774,884755,422172,27875,0,6174072,7523974,0,1348735,0,13840503,0,0,0,21699014,0,0,0,1953971,37294,1371281,2428730,624025,0,0,4254678,0,0,1851846,3146887,3384297,26643722,0,6577771,0,1503818,48284172,10403770
maine,0,13504022,1215894,226101,2720426,152972,291467,0,0,0,3259937,0,235157,0,3010415,0,0,0,5733988,0,0,0,483875,97216,0,0,0,0,0,3050046,0,0,0,802370,897878,5888913,0,3891893,0,0,0,2021146
maryland,0,45965837,525350,1351906,5418987,79123,436663,159325,0,0,4151634,0,820691,0,4635192,0,0,0,15234099,0,0,0,1198469,1376112,0,445921,348301,1713427,0,0,0,0,0,9601602,1636334,17157621,0,7322658,0,0,7672745,7264292
massachusetts,0,60019823,1673173,1975418,662446,80123,0,93716,0,3889500,6102476,0,970684,0,24777618,0,0,0,18841112,0,299958,0,1413323,1476916,0,1179268,0,0,0,1335901,3760647,0,741750,12776616,2128970,21458125,0,7660085,0,11664831,33352847,9017161
michigan,742584,135804637,8896163,380745,4919924,2573119,464021,33706,424220,0,10667829,0,2364749,0,9035879,0,16705209,0,43611142,0,253390,0,3459025,469178,0,0,274769,0,0,5039061,1209304,0,688732,10882518,5792635,47130621,0,10716010,0,1634733,0,20927825
minnesota,0,36059637,2151830,244908,18351789,3488573,0,94157,0,2211380,3496376,0,577469,157102,4391137,0,0,0,10929534,0,1677408,0,841828,903881,0,0,610007,0,0,3658702,0,0,638305,8744729,1631149,16189977,1564900,6991083,0,0,0,5272121
mississippi,0,50190912,1076700,752642,3117579,452296,472080,78236,0,1092899,5180314,0,901882,0,11641433,0,0,0,15199801,0,0,0,1316853,956827,0,909960,0,0,0,6242107,0,0,1597468,1755996,2792587,18061243,0,5426451,0,0,5560556,7251209
missouri,0,233623049,1576552,1543717,22632979,87516,442741,93627,406316,0,2451683,0,1072052,0,6877914,0,3726580,0,17387407,0,0,0,1410045,160117,968398,0,0,0,0,8099786,1420018,0,0,4983879,3118673,21421215,0,7574008,0,0,5848345,8325226
montana,0,10630763,1045858,104422,49420004,3229757,0,93138,0,0,2623344,0,199226,0,2363564,0,0,0,5733988,0,2389324,0,483875,24474,0,0,0,0,0,5452262,0,0,0,1094107,897878,5888914,0,3700425,0,0,0,1780524
nebraska,0,16178611,5291533,216886,17805121,822110,0,97050,0,0,392907,0,273114,0,4259050,0,0,0,5733988,0,405179,0,483875,20000,0,0,0,0,0,4526020,858459,0,0,2721044,897878,6005209,0,4410391,0,0,0,2690765
nevada,0,21341411,245803,396608,3611851,741358,0,159067,0,0,838337,0,414731,0,5279596,0,409346,0,7566603,0,0,0,603019,268062,0,0,440114,0,0,110085,2866332,0,0,8401996,1139474,6636036,0,5124830,0,0,5956402,3604141
new hampshire,0,9989950,151919,521976,7606,0,0,158981,0,0,209731,0,177370,0,1407926,0,1330981,7500219,5733988,0,0,0,483875,23420,0,0,0,0,0,2446603,0,0,0,828448,897878,5888914,1902282,3954054,0,0,0,1561304
