region,84.004,84.010,84.011,84.013,84.041,84.060,84.141,84.144,84.149,84.165,84.184,84.196,84.215,84.256,84.282,84.283,84.287,84.295,84.299,84.304,84.318,84.330,84.336,84.350,84.351,84.354,84.356,84.358,84.360,84.362,84.363,84.365,84.366,84.367,84.368,84.369,84.370,84.371,84.374,84.377
alabama,0,56056070,2139281,954954,3439036,1644140,0,0,0,0,575465,1009502,2487995,0,0,0,16592039,0,0,0,0,745358,0,287683,299390,0,0,4661277,1753625,0,0,3657569,3011829,11672934,0,6333266,0,67309,0,8035396
alaska,0,8629836,7235727,238129,136581147,11633625,0,0,0,0,1091933,163241,1425655,0,190761,814647,5653883,0,2135758,0,0,21390,0,647953,0,0,32819226,184976,0,0,750865,1956060,871257,3483632,0,3537277,0,150000,0,1636914
american samoa,0,0,0,0,0,0,0,0,0,0,0,0,188500,1080000,0,0,0,0,0,0,0,0,0,349919,0,0,0,0,0,0,0,0,0,0,0,0,0,253800,0,0
arizona,0,78241742,6827600,1502389,171502096,9855372,475000,0,424940,2065371,8338160,1402919,2907506,0,6950129,0,23186233,0,2547281,0,0,611064,4591005,1744308,0,0,0,2800907,0,0,704020,23034013,4208022,11713507,0,7726173,0,150000,8182610,11382786
arkansas,0,39316450,5476120,516815,864134,304173,0,66666,0,0,749999,690431,0,0,5210414,0,11883151,0,0,0,0,0,0,469289,0,0,0,4206468,0,0,0,3226326,2000806,7128232,0,5069585,0,150000,0,5890593
california,751041,407233022,135022620,1649089,85854087,5594911,3262821,0,3780455,15161975,33325881,7189733,34521798,0,96767462,9570237,134122758,0,671271,0,0,11277567,6451879,4654140,4481372,0,0,7063272,4518359,0,4258703,165972660,20102918,81642534,0,30244931,0,841329,3003229,69095854
colorado,681931,39819587,7309544,675787,23963971,696254,474603,66666,394573,1421412,1319136,678943,1358836,0,5187971,1244796,11808418,0,0,0,0,633060,0,1224272,0,0,0,2141322,3e+06,0,1465314,12771526,2046594,8241084,0,6551376,0,146692,9757858,5933129
connecticut,0,30306615,0,2040420,5316158,0,0,0,0,7623750,0,465012,1812074,0,0,0,8674872,0,0,0,0,830475,0,192821,0,0,0,1045978,2241918,0,0,6441067,1036350,6831128,0,5476919,0,150000,0,4231455
delaware,0,9756103,303226,377465,61601,0,0,0,0,0,0,187881,664853,0,0,0,5653883,0,0,0,0,67431,0,201742,0,0,0,123081,0,0,0,1032081,871257,3483631,0,3603729,0,0,0,1544373
