region,84.004,84.010,84.011,84.013,84.041,84.060,84.141,84.144,84.149,84.165,84.184,84.196,84.215,84.282,84.287,84.295,84.299,84.330,84.336,84.350,84.351,84.354,84.356,84.358,84.360,84.362,84.363,84.365,84.366,84.367,84.368,84.369,84.371,84.374,84.377,84.411
alabama,0,226839000,2135130,955174,2177149,1610922,0,60000,0,0,0,1046309,0,0,17422148,0,0,537248,0,0,3e+05,0,0,4416293,1616050,0,0,4983230,2685939,38511453,0,6330371,0,0,0,0
alaska,0,36301069,7221686,244135,105273133,12280825,0,0,0,0,0,164751,401525,0,5643199,0,2321223,16698,0,0,0,0,11993431,232038,0,0,751221,2113384,744840,11480065,0,3541678,0,0,1556643,14891362
american samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201533,0,0,0
arizona,0,317013525,6814352,1479666,105065095,10021296,475000,60000,425000,1994945,5391256,1330033,1977772,13073685,24198421,0,2332393,506352,4116546,210402,0,0,0,3463100,0,0,946425,20074122,3410418,38483857,0,7753124,0,0,11631026,3e+06
arkansas,0,156765642,5465494,375459,679044,290341,0,60000,0,0,0,676306,291387,1710915,11915040,0,0,0,0,0,0,0,0,4692470,0,0,0,3642913,1611191,23448512,0,5079885,0,0,5795143,0
california,749454,1635383501,134760620,1567686,68839391,5967008,3600201,0,2957982,12237715,10750713,7462157,18793847,2793750,124077384,0,1269927,8286436,7947267,4466750,4164128,0,0,8866081,4106470,0,4727486,166577439,17876173,285586319,0,30238573,0,0,63020218,11963331
colorado,699600,152180498,7295360,552516,22462218,669804,474253,60000,849077,1226731,0,654048,0,5047293,11717063,0,0,653573,0,0,0,0,0,2389844,2641191,0,1481462,13112304,1699715,27133216,0,6592095,0,0,5773975,0
connecticut,0,106317174,0,1609936,4426342,17095,0,0,0,7634926,0,465976,1474162,0,8021705,0,0,633980,0,0,0,0,0,1227860,2276753,0,0,6750524,887579,22523428,0,5452426,0,0,3865927,0
delaware,0,42536875,302638,476774,52225,0,0,120000,0,0,0,190232,0,0,5643199,0,0,58476,0,263522,0,0,0,139745,0,0,0,1230843,744840,11480067,0,3602526,0,0,1542937,0
district of columbia,0,48511358,0,1216094,1156950,0,0,0,0,0,0,195297,1121199,1897236,5643199,15056398,0,0,0,0,0,0,0,0,0,645933,0,1536909,744840,11480067,0,3279828,0,0,1846097,0
florida,749984,738779700,23561534,1547243,6437366,130585,844190,60000,418084,13456625,0,3386786,778979,21397238,58059259,0,0,761162,0,1586971,838700,0,0,2707933,2194797,0,1320948,43010932,8120268,109526229,0,14811060,0,4064721,0,0
georgia,0,522805628,8179101,1164195,17644665,0,442504,0,422483,0,0,2206876,1300807,1,40361648,0,0,382357,3524519,1158452,249696,0,0,6660042,1592543,0,747226,15988604,5260953,64183201,0,10307735,0,0,19233337,0
guam,0,0,0,0,94985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246932,0,0,0
hawaii,0,46762228,832114,339161,73980076,0,0,120000,0,0,0,204243,0,0,5643199,0,0,492687,0,0,0,0,0,0,0,33135523,0,3857892,744840,11480066,0,3874218,0,0,0,0
idaho,0,54431345,3699262,552245,5475139,428507,937800,60000,842004,0,0,246714,0,0,5643199,0,0,75239,0,0,0,0,0,1609826,0,0,0,1947808,744840,11480066,0,4249155,0,0,0,0
illinois,0,644897280,1976414,1147451,15138941,188646,0,60000,0,0,0,2885828,1221330,0,50297549,6371745,0,1721335,7615264,277716,1594880,0,0,6780611,5633781,0,1853809,31600185,5282424,98888001,0,12182729,0,0,23665476,2989321
indiana,734979,258435176,5694800,573838,1874542,0,0,0,0,3850088,0,1178404,1360451,2147073,19490325,0,0,387776,110450,0,0,0,0,2136325,0,0,0,8709513,2899118,41442505,0,7724033,0,0,9351905,0
iowa,0,78577735,1666098,515488,459145,315692,0,0,0,0,3270359,386238,297552,0,5956271,0,0,41576,0,0,0,0,0,4666140,1503038,0,0,3907545,940605,18781393,0,5123932,0,0,2863652,0
kansas,677961,109947556,11953899,314539,28367666,1182091,918102,60000,773575,0,2273208,483238,349217,0,8648128,0,0,85765,2137816,0,254609,0,0,4297197,0,0,638589,4816041,1048080,19227919,1757103,5104716,0,0,4493151,0
kentucky,0,225835722,7656783,962033,2517735,0,938581,60000,0,0,0,985391,7002818,0,17355104,0,0,394457,404235,1,0,0,0,5241425,0,0,0,4059827,2210718,37842135,0,5992802,0,0,8437046,5948631
louisiana,0,296562472,2558808,1708383,11560152,942688,433486,0,0,3771853,3214991,1242840,673091,0,21441365,0,0,46568,1147929,0,298521,0,0,3504714,0,0,1024909,3057371,2550206,54080041,0,6242079,0,0,10197153,0
maine,0,52232540,1211045,225917,1591880,160948,291510,0,0,0,0,226920,355030,0,5643199,0,0,69197,0,0,0,0,0,2811521,0,0,0,1101907,744840,11480066,0,3815260,0,0,1949584,0
maryland,656371,184028123,523255,1583465,6356801,70124,456135,0,0,0,3075963,880105,0,0,14262844,0,0,963303,0,400396,221566,0,0,185088,0,0,0,10400845,1470908,34726823,1926577,6966494,0,0,6751847,5992293
massachusetts,0,216953578,1666499,2606350,404709,69040,0,60000,0,2853375,0,924385,376538,3209161,16482734,0,99198,388857,0,0,0,5e+06,0,1270560,3373113,0,741750,15273505,1707316,43657101,0,7204698,0,0,7873933,2967643
michigan,0,538783471,8860681,809474,7724361,2618875,474000,60000,831882,0,5606693,2279817,1647366,4611413,41284256,0,0,463181,0,0,274875,0,0,5832539,0,0,649157,10916550,4663571,95633347,0,9923477,0,0,19665584,0
minnesota,0,157879559,2143247,245550,18584876,3771106,0,60000,0,2097948,0,708233,7354675,2441900,12439164,0,1036321,0,0,231344,274162,0,0,3758162,0,0,556164,8589712,1603345,32934745,0,6743120,0,0,5911583,14999766
mississippi,0,193221814,1072406,830310,927105,471650,472080,60000,0,866639,0,798439,409066,0,14433678,0,0,187710,0,1323852,0,0,0,5226055,0,0,1525920,1642315,2071960,35730726,0,5188546,0,0,6828481,0
missouri,0,240402649,1570264,1379450,10518177,87035,412855,60000,407090,0,867965,991680,1143054,855330,18987498,0,0,407703,1082523,0,0,0,0,7980960,1269277,0,0,5853814,2412599,41810546,0,7158030,0,0,9002867,0
montana,0,44814477,1041687,113007,43050371,3561827,0,60000,0,0,0,195408,0,0,5643199,0,2559671,67084,0,0,0,0,0,5460696,0,0,0,1085504,744840,11480066,0,3649643,0,0,1645333,0
nebraska,0,63749450,5270429,407328,14467413,886144,0,60000,0,0,0,323910,251825,0,5643199,0,1221757,20927,0,0,0,0,0,4136584,789941,0,0,2667028,744840,11755893,0,4329308,0,0,2439910,0
nevada,0,99175732,244823,442335,2160479,761774,0,120000,0,0,0,495665,0,0,7643861,0,0,248657,0,0,296753,0,0,149694,3423967,0,0,9183756,1162496,12308013,0,4931036,0,0,3597564,0
new hampshire,0,40491612,151313,482204,9609,0,0,120000,0,0,0,173671,0,1372212,5643199,0,0,10408,0,0,0,0,0,2361369,0,0,0,1221545,744840,11480066,0,3858987,0,0,1476402,0
new jersey,0,300249946,2030255,1989515,20223453,54836,0,60000,0,0,0,1349728,0,4057153,22798466,0,0,349294,2780169,276534,624064,8e+06,0,1978476,0,0,0,22440333,2538055,54855510,0,9096178,0,0,10827610,0
new mexico,0,115270171,953105,360409,56321645,7624685,896626,120000,1678851,0,0,534853,792730,0,8729513,0,503447,102081,0,0,0,0,0,1915639,0,0,1172108,5715018,1269260,19038238,0,4511669,0,0,4132255,0
